IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
64.186.245.27,443,TRUE,LAX,US,California,,,AS906
154.21.82.24,443,TRUE,LAX,US,California,,,AS906
179.255.109.171,443,TRUE,LAX,US,California,,,AS906
69.63.196.2,443,TRUE,LAX,US,California,,,AS906
45.202.241.10,443,TRUE,LAX,US,California,,,AS61112
103.149.46.74,443,TRUE,SIN,SG,,,,AS8888
156.246.95.196,443,TRUE,NRT,JP,Tokyo,,,AS61112
103.135.251.177,443,TRUE,HKG,HK,,,,AS906
45.192.249.63,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.192.207.141,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.202.249.172,443,TRUE,HKG,HK,,,,AS61112
191.223.214.19,443,TRUE,HKG,HK,,,,AS906
156.224.76.187,443,TRUE,HKG,HK,,,,AS61112
167.253.159.197,443,TRUE,SIN,SG,,,,AS8888
179.255.102.54,443,TRUE,LAX,US,California,,,AS906
45.207.34.196,443,TRUE,HKG,MO,,,,AS61112
64.90.28.28,443,TRUE,HKG,HK,,,,AS61112
156.224.79.83,443,TRUE,HKG,HK,,,,AS61112
45.192.247.155,443,TRUE,HKG,HK,,,,AS61112
172.93.32.181,443,TRUE,YVR,CA,British Columbia,,,AS25820
64.186.227.159,443,TRUE,LAX,US,California,,,AS906
179.255.102.6,443,TRUE,LAX,US,California,,,AS906
45.202.243.134,443,TRUE,LAX,US,California,,,AS61112
179.255.108.92,443,TRUE,LAX,US,California,,,AS906
179.255.144.153,443,TRUE,LAX,US,California,,,AS906
45.202.242.95,443,TRUE,LAX,US,California,,,AS61112
45.192.206.21,443,TRUE,NRT,JP,Tokyo,,,AS61112
156.246.92.90,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.66.128.2,443,TRUE,SIN,SG,,,,AS8888
45.192.207.249,443,TRUE,NRT,JP,Tokyo,,,AS61112
179.253.241.115,443,TRUE,LAX,US,California,,,AS906
179.253.254.122,443,TRUE,LAX,US,California,,,AS906
185.81.28.7,443,TRUE,SIN,SG,,,,AS61112
45.192.204.105,443,TRUE,HKG,HK,,,,AS61112
179.253.234.210,443,TRUE,LAX,US,California,,,AS906
156.246.91.249,443,TRUE,NRT,JP,Tokyo,,,AS61112
156.231.113.76,443,TRUE,NRT,JP,Tokyo,,,AS61112
172.93.32.125,443,TRUE,YVR,CA,British Columbia,,,AS25820
172.93.32.237,443,TRUE,YVR,CA,British Columbia,,,AS25820
141.11.90.154,443,TRUE,HKG,HK,,,,AS61112
156.226.168.206,443,TRUE,HKG,HK,,,,AS61112
150.242.90.148,443,TRUE,YVR,CA,British Columbia,,,AS25820
156.246.90.21,443,TRUE,NRT,JP,Tokyo,,,AS61112
141.11.91.164,443,TRUE,HKG,HK,,,,AS61112
45.202.243.92,443,TRUE,LAX,US,California,,,AS61112
104.192.92.190,443,TRUE,SIN,SG,,,,AS61112
83.147.12.20,443,TRUE,TPE,TW,Taiwan,,,AS61112
45.207.157.136,443,TRUE,HKG,HK,,,,AS61112
156.224.79.247,443,TRUE,HKG,HK,,,,AS61112
